Brand,Model,Processor,RAM,Storage,Display,GPU,Price_BDT,Availability,Source,Product_URL
Apple,Apple MacBook Pro (Early 2026) Apple M5 Max Chip 48GB RAM 2TB SSD 16.2 Inch Liquid Retina XDR Display Standard Glass Silver Laptop,Apple MacBook Pro,48GB,2TB SSD,"16.2""",Apple 40-Core GPU,695000,In Stock,ryans.com,https://www.ryans.com/apple-macbook-pro-early-2026-apple-m5-max-chip-48gb-ram-laptop
Microsoft,"Microsoft 13"" Surface Laptop Snapdragon X Plus 8 Core 13.8"" PixelSense Touch Copilot+ PC Laptop",Qualcomm Snapdragon X Plus 8 Core,16GB LPDDR5x,256GB PCIe 4.0 SSD,"13.8"" (1920 x 1280) PixelSense, IPS, 60Hz, Touch",45 graphics boost up to 1107MHz,145000,In Stock,startech.com.bd,https://www.startech.com.bd/microsoft-13-inch-surface-laptop
Lenovo,"Lenovo Legion 5 15AKP10 Ryzen AI 7 350 RTX 5070 8GB Graphics 15.1"" WQXGA OLED Gaming Laptop","AMD Ryzen AI 7 350 (8C / 16T, 2.0 / 5.0GHz, 8MB L2 / 16MB L3)",32GB DDR5-5600,512GB M.2 2242 PCIe 4.0x4 NVMe SSD,"RGB Backlit Keyboard, E-shutter, Wi-Fi 7, 165Hz OLED Display","GeForce RTX 5070 8GB GDDR7, Boost Clock 2347MHz",270000,In Stock,startech.com.bd,https://www.startech.com.bd/lenovo-legion-5-15akp10-laptop
ASUS,"ASUS Vivobook Go 14 EB595W Ryzen 5 7520U 14"" FHD Laptop","AMD Ryzen 5 7520U (6MB Cache, Up to 4.3GHz)",16GB LPDDR5,512GB M.2 NVMe PCIe 3.0 SSD,"14"" FHD (1920X1080) 16:9, LED Backlit, 60Hz refresh rate, 250nits",Integrated AMD Radeon Graphics deliver smooth images for everyday tasks,93000,In Stock,startech.com.bd,https://www.startech.com.bd/asus-vivobook-go-14-eb595w-laptop
Microsoft,"Microsoft Surface Pro 10 Core Ultra 5 135U 13"" 120Hz Touch Laptop","Intel Core Ultra 5 135U (12M Cache, up to 4.40 GHz)",,16GB LPDDR5 Storage: 256GB SSD,"13"" 2880x1920 Multi-touch",resulting in fluid and colorful graphics,160000,In Stock,startech.com.bd,https://www.startech.com.bd/microsoft-surface-pro-10-touch-laptop
Chuwi,Chuwi GemiBook XPro Intel Celeron N100 14.1 inch Full HD Laptop,"Intel Celeron N100 (4M Cache, 0.8GHz - 3.4GHz)",8GB DDR4,256GB M.2 2280 SSD,14.1 Inch(1920 x 1080) IPS Anti-Glare Display,,,Out of Stock,startech.com.bd,https://www.startech.com.bd/chuwi-gemibook-xpro-laptop
Lenovo,"Lenovo Legion 5 15AKP10 Ryzen AI 7 350 RTX 5060 8GB Graphics 15.1"" WQXGA OLED Gaming Laptop","AMD Ryzen AI 7 350 (8C / 16T, 2.0 / 5.0GHz, 8MB L2 / 16MB L3)",32GB DDR5-5600,512GB M.2 2242 PCIe 4.0x4 NVMe SSD,"RGB Backlit Keyboard, E-shutter, Wi-Fi 7, 165Hz OLED Display","GeForce RTX 5060 8GB GDDR7, Boost Clock 2497MHz",240000,In Stock,startech.com.bd,https://www.startech.com.bd/lenovo-legion-5-15akp10-rtx-5060-laptop
Apple,"MacBook Air M4 Chip 13-inch (10‑core CPU, 10 core GPU)","Apple M4 chip with 10‑core CPU, 10 core GPU, 16‑core Neural Engine",16GB,512GB SSD,13.6-inch Liquid Retina display (2560x1664) with True Tone,and graphics performance is noticeably improved,165000,In Stock,startech.com.bd,https://www.startech.com.bd/macbook-air-m4-13-inch-10-core-gpu
Walton,"Walton Prelude N41 Pro Celeron N4120 14"" FHD Laptop","Intel Celeron N4120 (4MB Cache, 1.10 GHz up to 2.60 GHz)",8GB DDR4,256GB SSD,"14"" FHD (1920x1080)",Intel UHD Graphics 600,27500,In Stock,startech.com.bd,https://www.startech.com.bd/walton-prelude-n41-pro-celeron-n4120-laptop
Lenovo,"Lenovo Legion Pro 5 16ADR10 Ryzen 7 8745HX RTX 5060 8GB Graphics 24GB RAM 16"" OLED Gaming Laptop","AMD Ryzen 7 8745HX (8C / 16T, 3.6 / 5.1GHz, 8MB L2 / 32MB L3)",24GB DDR5-5200,1TB M.2 2242 PCIe 4.0x4 NVMe SSD,,"GeForce RTX 5060 8GB GDDR7, Boost Clock 2497MHz",240000,In Stock,startech.com.bd,https://www.startech.com.bd/lenovo-legion-pro-5-16adr10-24gb-ram-laptop
Microsoft,"Microsoft Surface Pro 11th Edition Snapdragon X Elite 13"" OLED 120Hz Copilot+ PC Touch Laptop",Qualcomm Snapdragon X Elite 12 Core 3.8 GHz,16GB LPDDR5x,1TB PCIe 4.0 SSD,"13"" OLED (2880x1920) HDR Touchscreen, 120hz",It features an integrated Qualcomm Adreno GPU for smooth graphics and visual ren,198000,In Stock,startech.com.bd,https://www.startech.com.bd/microsoft-surface-pro-11th-edition-laptop
Walton,"Walton Prelude N50 Pro Pentium Silver N5030 14"" FHD Laptop","Intel Pentium Silver N5030 (4MB Cache, 1.10 GHz up to 3.10 GHz)",8GB DDR4,256GB SSD,"14"" FHD (1920x1080)",Intel UHD Graphics 605,29000,In Stock,startech.com.bd,https://www.startech.com.bd/walton-prelude-n50-pro-pentium-silver-n5030-laptop
Apple,MacBook Air M4 Chip 15-inch,"Apple M4 chip with 10‑core CPU, 10‑core GPU, 16‑core Neural Engine",16GB Unified Memory,256GB SSD,15.3-inch Liquid Retina display (2880 x1864) with True Tone,,168000,In Stock,startech.com.bd,https://www.startech.com.bd/apple-macbook-air-m4-15-inch
HP,"HP 15-fd0807TU Intel Core i3 13th Gen 15.6"" FHD Laptop","Intel Core i3 13th Gen (10MB, Up to 4.5 GHz)",8GB DDR4 3200Mhz,512GB PCIe NVMe M.2 SSD,"15.6"" FHD (1920 x 1080), Anti-glare, 62.5% sRGB, 250nits",With Intel UHD Graphics,65990,In Stock,startech.com.bd,https://www.startech.com.bd/hp-15-fd0807TU-core-i3-13th-gen-laptop
